sorted string,count
23456789,3098
13456789,4192
12356789,4168
12346789,4097
12345689,3194
12345679,4333
2456789,317
2356789,554
2345789,502
2345689,347
2345678,371
1456789,512
1346789,669
1345789,708
1345679,663
1345678,505
1256789,494
1246789,528
1245689,343
1245679,560
1235789,731
1235689,512
1235678,518
1234789,727
1234679,685
1234678,526
1234589,526
1234579,665
1234568,353
1234567,534
356789,88
346789,87
345689,78
345679,113
256789,65
245789,82
245689,35
245678,26
236789,109
235789,98
235679,104
235678,72
234689,79
234679,116
234589,77
234578,81
234569,78
234568,28
146789,103
145789,87
145679,102
145678,70
136789,141
135689,109
135679,137
134789,136
134689,102
134678,131
134579,133
134578,111
134569,99
134567,98
125789,108
125689,69
125678,61
124789,114
124679,107
124678,65
124589,69
124579,99
124568,31
124567,65
123689,99
123679,124
123589,127
123578,94
123569,105
123568,88
123479,148
123478,114
123469,116
123467,101
123458,69
123457,97
56789,16
46789,16
45689,6
45679,14
35789,27
35689,18
35678,16
34789,22
34679,18
34678,14
34589,18
34579,16
34568,10
34567,14
26789,25
25789,15
25679,20
25678,9
24689,8
24679,22
24589,11
24578,9
24569,9
23789,24
23689,19
23678,10
23579,33
23578,16
23569,17
23567,17
23489,11
23479,27
23468,12
23467,22
23459,19
23458,6
23456,6
16789,25
15689,12
15679,24
14789,27
14689,13
14678,19
14579,28
14578,16
14569,13
14567,16
13789,39
13679,32
13678,26
13589,27
13579,34
13568,20
13567,24
13489,29
13478,24
13469,25
13468,19
13459,37
13457,23
13456,23
12689,22
12679,23
12589,20
12578,17
12569,17
12568,8
12479,21
12478,14
12469,16
12467,15
12458,6
12457,22
12389,32
12379,36
12368,16
12367,31
12359,27
12358,20
12356,20
12349,24
12347,25
12346,11
5789,7
5689,2
5678,2
4789,3
4679,5
4678,2
4589,1
4579,8
4567,4
3689,5
3679,9
3589,2
3578,7
3569,4
3568,2
3479,9
3478,2
3469,4
3467,5
3458,4
3457,6
2789,5
2689,4
2678,4
2579,7
2578,3
2569,2
2567,2
2489,2
2479,3
2467,4
2459,3
2389,5
2378,5
2369,4
2368,4
2359,6
2357,8
2356,1
2348,4
2347,7
2345,3
1789,10
1679,7
1678,6
1589,4
1579,10
1568,2
1567,5
1489,3
1478,8
1469,3
1468,5
1459,7
1457,9
1456,4
1379,7
1378,6
1369,5
1367,8
1358,6
1357,4
1349,9
1348,4
1346,2
1345,7
1289,5
1279,11
1268,1
1267,6
1259,3
1258,4
1256,2
1249,6
1247,7
1246,3
1238,6
1237,11
1235,6
1234,4
679,2
589,1
578,2
569,2
479,2
478,1
467,2
457,2
389,3
379,4
368,2
367,2
359,3
358,1
356,2
349,2
347,2
346,2
289,1
278,1
269,1
257,1
239,2
238,2
236,1
235,1
179,4
169,2
167,3
157,3
149,4
146,2
145,1
139,2
137,3
136,3
134,1
128,2
127,2
125,2
124,2
89,1
79,2
67,1
59,1
47,1
38,1
37,2
35,1
34,1
29,1
23,1
19,1
17,2
16,1
14,1
13,2
7,1
5,1
3,1
2,1
