sorted string,count,length
23456789,3098,8
13456789,4192,8
12356789,4168,8
12346789,4097,8
12345689,3194,8
12345679,4333,8
2456789,317,7
2356789,554,7
2345789,502,7
2345689,347,7
2345678,371,7
1456789,512,7
1346789,669,7
1345789,708,7
1345679,663,7
1345678,505,7
1256789,494,7
1246789,528,7
1245689,343,7
1245679,560,7
1235789,731,7
1235689,512,7
1235678,518,7
1234789,727,7
1234679,685,7
1234678,526,7
1234589,526,7
1234579,665,7
1234568,353,7
1234567,534,7
356789,88,6
346789,87,6
345689,78,6
345679,113,6
256789,65,6
245789,82,6
245689,35,6
245678,26,6
236789,109,6
235789,98,6
235679,104,6
235678,72,6
234689,79,6
234679,116,6
234589,77,6
234578,81,6
234569,78,6
234568,28,6
146789,103,6
145789,87,6
145679,102,6
145678,70,6
136789,141,6
135689,109,6
135679,137,6
134789,136,6
134689,102,6
134678,131,6
134579,133,6
134578,111,6
134569,99,6
134567,98,6
125789,108,6
125689,69,6
125678,61,6
124789,114,6
124679,107,6
124678,65,6
124589,69,6
124579,99,6
124568,31,6
124567,65,6
123689,99,6
123679,124,6
123589,127,6
123578,94,6
123569,105,6
123568,88,6
123479,148,6
123478,114,6
123469,116,6
123467,101,6
123458,69,6
123457,97,6
56789,16,5
46789,16,5
45689,6,5
45679,14,5
35789,27,5
35689,18,5
35678,16,5
34789,22,5
34679,18,5
34678,14,5
34589,18,5
34579,16,5
34568,10,5
34567,14,5
26789,25,5
25789,15,5
25679,20,5
25678,9,5
24689,8,5
24679,22,5
24589,11,5
24578,9,5
24569,9,5
23789,24,5
23689,19,5
23678,10,5
23579,33,5
23578,16,5
23569,17,5
23567,17,5
23489,11,5
23479,27,5
23468,12,5
23467,22,5
23459,19,5
23458,6,5
23456,6,5
16789,25,5
15689,12,5
15679,24,5
14789,27,5
14689,13,5
14678,19,5
14579,28,5
14578,16,5
14569,13,5
14567,16,5
13789,39,5
13679,32,5
13678,26,5
13589,27,5
13579,34,5
13568,20,5
13567,24,5
13489,29,5
13478,24,5
13469,25,5
13468,19,5
13459,37,5
13457,23,5
13456,23,5
12689,22,5
12679,23,5
12589,20,5
12578,17,5
12569,17,5
12568,8,5
12479,21,5
12478,14,5
12469,16,5
12467,15,5
12458,6,5
12457,22,5
12389,32,5
12379,36,5
12368,16,5
12367,31,5
12359,27,5
12358,20,5
12356,20,5
12349,24,5
12347,25,5
12346,11,5
5789,7,4
5689,2,4
5678,2,4
4789,3,4
4679,5,4
4678,2,4
4589,1,4
4579,8,4
4567,4,4
3689,5,4
3679,9,4
3589,2,4
3578,7,4
3569,4,4
3568,2,4
3479,9,4
3478,2,4
3469,4,4
3467,5,4
3458,4,4
3457,6,4
2789,5,4
2689,4,4
2678,4,4
2579,7,4
2578,3,4
2569,2,4
2567,2,4
2489,2,4
2479,3,4
2467,4,4
2459,3,4
2389,5,4
2378,5,4
2369,4,4
2368,4,4
2359,6,4
2357,8,4
2356,1,4
2348,4,4
2347,7,4
2345,3,4
1789,10,4
1679,7,4
1678,6,4
1589,4,4
1579,10,4
1568,2,4
1567,5,4
1489,3,4
1478,8,4
1469,3,4
1468,5,4
1459,7,4
1457,9,4
1456,4,4
1379,7,4
1378,6,4
1369,5,4
1367,8,4
1358,6,4
1357,4,4
1349,9,4
1348,4,4
1346,2,4
1345,7,4
1289,5,4
1279,11,4
1268,1,4
1267,6,4
1259,3,4
1258,4,4
1256,2,4
1249,6,4
1247,7,4
1246,3,4
1238,6,4
1237,11,4
1235,6,4
1234,4,4
679,2,3
589,1,3
578,2,3
569,2,3
479,2,3
478,1,3
467,2,3
457,2,3
389,3,3
379,4,3
368,2,3
367,2,3
359,3,3
358,1,3
356,2,3
349,2,3
347,2,3
346,2,3
289,1,3
278,1,3
269,1,3
257,1,3
239,2,3
238,2,3
236,1,3
235,1,3
179,4,3
169,2,3
167,3,3
157,3,3
149,4,3
146,2,3
145,1,3
139,2,3
137,3,3
136,3,3
134,1,3
128,2,3
127,2,3
125,2,3
124,2,3
89,1,2
79,2,2
67,1,2
59,1,2
47,1,2
38,1,2
37,2,2
35,1,2
34,1,2
29,1,2
23,1,2
19,1,2
17,2,2
16,1,2
14,1,2
13,2,2
7,1,1
5,1,1
3,1,1
2,1,1
